                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.92797,                 6.6071,                0.40272,                 0.8149,                 1.0778,                0.69817,                0.71665,                0.64387,                0.39896,                0.12893,                0.12117,                   0.03,                 0.0038,                 1.3831,                 7.1735,                0.44072,                0.97021,                 1.2329,             0.00077307,             0.00077307,             0.00077307
                     67,                0.92272,                 6.5803,                0.40703,                0.81228,                 1.0804,                0.71285,                0.72546,                0.64712,                 0.3979,                0.13386,                0.09663,                0.02711,                0.00374,                 1.3809,                 7.1414,                0.44341,                0.99118,                 1.2329,             0.00075932,             0.00075932,             0.00075932
                     68,                0.93018,                 6.5629,                0.40377,                0.79697,                 1.0822,                0.69786,                0.72086,                0.64325,                0.39717,                0.12041,                0.10429,                0.02644,                0.00367,                 1.3842,                 7.2024,                0.44778,                 1.0053,                 1.2382,             0.00074557,             0.00074557,             0.00074557
                     69,                0.90592,                 6.5164,                0.40331,                0.79697,                 1.0701,                0.72742,                0.73006,                0.65548,                0.41373,                0.12339,                0.09969,                0.03092,                0.00439,                 1.3467,                 7.1546,                0.44464,                0.96068,                 1.2071,             0.00073181,             0.00073181,             0.00073181
                     70,                0.91117,                 6.5141,                0.40525,                0.78837,                 1.0721,                0.69196,                0.73006,                0.64778,                0.39938,                0.13243,                0.10429,                0.03387,                0.00461,                 1.3657,                 7.2074,                0.44227,                0.98438,                  1.242,             0.00071806,             0.00071806,             0.00071806
                     71,                0.90301,                 6.4541,                 0.4027,                0.78998,                 1.0629,                0.68441,                   0.75,                 0.6553,                0.41311,                0.14092,                0.09816,                0.02947,                0.00397,                 1.3311,                 7.1364,                0.44309,                0.95855,                 1.2052,             0.00070431,             0.00070431,             0.00070431
                     72,                0.89899,                 6.5013,                 0.4043,                0.77767,                 1.0662,                0.69151,                 0.7316,                0.63734,                 0.3942,                0.11136,                0.10629,                0.02601,                0.00349,                 1.3465,                  7.126,                0.44347,                0.97881,                 1.2219,             0.00069055,             0.00069055,             0.00069055
                     73,                0.90347,                 6.5039,                0.40132,                0.79742,                 1.0681,                0.68207,                0.73926,                0.65219,                0.40412,                0.12665,                 0.1181,                0.03759,                0.00568,                 1.3743,                  7.122,                0.44241,                0.99047,                 1.2404,              0.0006768,              0.0006768,              0.0006768
                     74,                 0.8996,                 6.4749,                0.39998,                0.78278,                 1.0626,                 0.6838,                0.72638,                0.64814,                0.40181,                0.14238,                0.11656,                0.04082,                0.00567,                 1.3841,                 7.1066,                0.44585,                0.98629,                 1.2397,             0.00066305,             0.00066305,             0.00066305
                     75,                0.88783,                 6.4678,                 0.3998,                0.78434,                 1.0631,                0.69585,                0.75307,                0.65759,                0.41238,                0.12708,                0.09509,                0.02943,                0.00411,                   1.37,                 7.0991,                0.44847,                0.96553,                 1.2289,              0.0006493,              0.0006493,              0.0006493
